"Reference","Qty","LCSC"
"C1,C5,C9","3","C1620"
"C2,C3,C6,C8","4","C15849"
"C4,C7,C10,C11,C18","5","C14663"
"C12","1","C53987"
"C13","1","C57112"
"C14,C16,C17","3","C96446"
"D1,D2,D3,D5","4","C2128"
"Q1,Q2,Q3,Q4,Q5","5","C2145"
"Q6,Q8,Q10","3","C15127"
"Q12,Q13,Q14","3","C20917"
"R1,R3","2","C25819"
"R2","1","C22775"
"R4,R9,R14,R19","4","C23178"
"R5,R7,R10,R12,R15","5","C25804"
"R6,R24","2","C21190"
"R8,R13,R18,R23,R27","5","C25803"
"R11,R16","2","C22808"
"R17","1","C23153"
"R20","1","C22809"
"R21","1","C22978"
"R22","1","C31850"
"R25,R26","2","C4190"
