Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5, C9",0603,3,470p,C1620
"C10, C11, C18, C4, C7",0603,5,100n,C14663
C12,0603,1,4.7n,C53987
C13,0603,1,10n,C57112
"C14, C16, C17",0603,3,10u,C96446
"C2, C3, C6, C8",0603,4,1u,C15849
"D1, D2, D3, D5",D_SOD-323,4,1N4148WS,C2128
"Q1, Q2, Q3, Q4, Q5",SOT-23,5,MMBT5551,C2145
"Q10, Q6, Q8",SOT-23,3,AO3401A,C15127
"Q12, Q13, Q14",SOT-23,3,AO3400A,C20917
"R1, R3",0603,2,47k,C25819
"R10, R12, R15, R5, R7",0603,5,10k,C25804
"R11, R16",0603,2,150,C22808
"R13, R18, R23, R27, R8",0603,5,100k,C25803
"R14, R19, R4, R9",0603,4,470k,C23178
R17,0603,1,39k,C23153
R2,0603,1,100,C22775
R20,0603,1,15k,C22809
R21,0603,1,3.3k,C22978
R22,0603,1,22k,C31850
"R24, R6",0603,2,1k,C21190
"R25, R26",0603,2,2.2k,C4190
