Designator,Mid X,Mid Y,Rotation,Layer
BT1,44.35,-50.45,180.0,top
C1,24.3,-14.0,90.0,top
C10,59.4,-10.1,270.0,top
C11,64.6,-13.4,90.0,top
C12,46.0125,-16.6375,180.0,top
C13,37.0125,-14.8375,0.0,top
C14,11.8,-49.497349,0.0,top
C16,12.7,-43.597349,0.0,top
C17,12.7,-41.897349,0.0,top
C18,11.8,-50.997349,180.0,top
C19,6.5,-40.7,90.0,top
C2,26.4,-18.1,90.0,top
C20,8.5,-56.347349,270.0,top
C3,23.2,-9.8,180.0,top
C4,23.5625,-22.9,0.0,top
C5,29.5,-26.25,270.0,top
C6,32.1,-23.65,0.0,top
C7,33.9,-28.95,0.0,top
C8,33.6125,-21.9375,180.0,top
C9,34.5125,-19.0375,90.0,top
D1,32.6125,-19.0375,90.0,top
D2,30.6125,-19.0375,270.0,top
D3,31.5,-26.2,90.0,top
D5,33.7,-26.25,270.0,top
D8,24.0,-67.0,0.0,top
D9,56.0,-67.0,0.0,top
J1,69.175,-75.0,0.0,top
J2,10.825,-75.0,180.0,top
J6,40.0,-5.2325,90.0,top
J9,14.1,-11.1,180.0,top
P1,0.0,0.0,0.0,top
P2,0.0,0.0,0.0,top
Q1,26.6,-26.25,180.0,top
Q10,6.6625,-18.8,0.0,top
Q12,8.75,-32.75,270.0,top
Q13,2.6625,-22.3,180.0,top
Q14,2.6625,-18.8,0.0,top
Q2,42.4125,-20.2,270.0,top
Q3,59.45,-17.12,180.0,top
Q4,26.9,-14.1,270.0,top
Q5,10.0,-46.897349,0.0,top
Q6,9.6,-26.3,270.0,top
Q8,6.6625,-22.3,180.0,top
R1,24.7,-18.1,270.0,top
R10,21.8,-25.6,270.0,top
R11,26.5,-28.95,0.0,top
R12,30.3875,-28.95,0.0,top
R13,37.1125,-21.9375,0.0,top
R14,36.2125,-19.0375,90.0,top
R15,46.1125,-19.2,180.0,top
R16,46.0125,-21.3,0.0,top
R17,40.625,-14.9375,180.0,top
R18,59.4,-14.5,0.0,top
R19,57.5,-12.9,180.0,top
R2,30.45,-15.3375,180.0,top
R20,64.6,-17.3,270.0,top
R21,59.35,-19.7,0.0,top
R22,44.1875,-15.0375,0.0,top
R23,9.7,-29.9,180.0,top
R24,6.6,-50.197349,90.0,top
R25,57.5,-2.0,180.0,top
R26,51.75,-22.25,270.0,top
R27,11.4,-34.5,270.0,top
R3,28.1,-18.1,270.0,top
R4,22.6,-14.0,90.0,top
R5,23.2,-11.3625,0.0,top
R6,23.8,-1.5,180.0,top
R7,20.0625,-22.9,0.0,top
R8,28.6,-23.65,180.0,top
R9,23.6,-25.5,270.0,top
SW1,40.0,-75.0,0.0,top
